registration_number,animal_name,birth_date,breed_makeup,sire_reg_num,sire_name,dam_reg_num,dam_name,ced_epd,ced_epd_accuracy,bw_epd,bw_epd_accuracy,ww_epd,ww_epd_accuracy,yw_epd,yw_epd_accuracy,rea_epd,rea_epd_accuracy,imf_epd,imf_epd_accuracy,fat_epd,fat_epd_accuracy,scrotal_circumference_epd,scrotal_circumference_epd_accuracy,heifer_pregnancy_epd,heifer_pregnancy_epd_accuracy,cem_epd,cem_epd_accuracy,tm_epd,tm_epd_accuracy,milk_epd,milk_epd_accuracy,stayability_epd,stayability_epd_accuracy,cow_weight_epd,cow_weight_epd_accuracy,terminal_index,fertility_index
R10436562,FC MS ATLANTA 541G35,2019-11-10,100% Brangus,R10210625,ATLANTA OF SALACOA  488Z,R10368436,OAKS MS GRANITE 541E26,6.90845014390577,0.295636673181586,-1.21856342523157,0.37049176133203,28.8210591506469,0.317786513711772,53.4728762161536,0.263658672746118,0.502402826974126,0.333014954351276,0.224834196926524,0.266107732491386,-0.030953342822646,0.309745349301904,0.409407788962952,0.186164378317892,2.73547492538328,0.170529824922756,3.92512869392063,0.210562170260335,20.8649085367314,0.228798560047541,6.4543789614079,0.184304583215425,0.440975019824041,0.03277634712759,-12.5283083036339,0.086991397101297,2.96666133854728,2.09954569824988
R10261188,OAKS ARMOUR 406B11,2014-02-13,100% Brangus,R10143303,GR ARMOUR 209W2,R10199710,OAKS MS NAVARRO 406Y,3.3905335336801,0.285865941915896,1.96241903576823,0.380325854842614,24.4756803798767,0.305529603091936,48.7939956732674,0.229851278358183,0.638554361402114,0.311443887073925,0.278692456196725,0.233762763996967,-0.035832091974205,0.285540616689515,0.377512098731168,0.139955771053996,1.20300552413613,0.117360230897356,3.58952468198278,0.181228533883482,22.0863524947263,0.21130219472367,9.84851230478793,0.164188490539536,1.04360844871329,0.057092720120019,-3.74640361956002,0.057832821539392,2.77032533078907,0.601271662544611
R10405184,OAKS MS HIGH CHOICE 541F49,2018-10-01,100% Brangus,R10235597,OAKS HIGH CHOICE 99A1,R10277896,OAKS MS CSONKA 541B39,4.58854384014257,0.359181536721362,2.65854461763154,0.446400113246836,37.9122994699666,0.369961079138695,72.5026174110732,0.308223570466428,0.645617751974473,0.385534191580498,0.129956563772215,0.307665501131428,-0.023356140351846,0.357069085300817,0.768943500467686,0.329520454574268,1.51676669412767,0.125288919740383,3.6847418569119,0.311937589817211,27.5631465980674,0.305354524638394,8.60699686308405,0.273051247388243,-0.233246593251668,0.036167330359672,-4.91299716686328,0.063461321339242,3.23749997594876,0.691753020723363
R10261208,OAKS ARMOUR 541B22,2014-03-07,100% Brangus,R10143303,GR ARMOUR 209W2,R10143616,OAKS MS CSONKA 541U13,4.00138003520075,0.293625815150717,1.67240125280152,0.384836984697814,24.8732634435168,0.317478983604893,48.5571659633086,0.243750225384659,0.439728376477328,0.32049476645538,0.209496495916449,0.246340793363901,-0.043424754134015,0.295274076129173,0.41433447580316,0.155886993331879,1.14150138355647,0.127572081970282,2.86271875868205,0.193312726363325,21.608360762701,0.22582074546926,9.17172904094262,0.179991626401444,-0.506325708574695,0.058393542418705,-11.0850539906878,0.083341697029475,2.54961768708533,0.381452619116833
R10425757,FC MS BEAR 40F8,2018-10-26,100% Brangus,UB10305851,MC BEAR 948C,R10287151,OAKS MS ATLANTA 40C55,1.6094933062215,0.284472808509613,4.61343451043558,0.362095328537272,48.8672616720555,0.300044624001678,94.6627788227494,0.218075564333615,0.864788131468058,0.30336445531309,0.293788842088265,0.221248727369308,-0.025006911266288,0.276043970185902,1.55626190235473,0.141185845845045,2.98389086022206,0.088719319702032,3.79511941131737,0.154740179927126,36.7220386007716,0.182464349286025,12.2884077647439,0.123674211928198,1.6517824258264,0.021872367605744,-4.38316346162111,0.039678275490316,4.39878017552188,2.2353751996623
R10437311,FC MS HIGH CHOICE 541G32,2019-10-27,100% Brangus,R10235597,OAKS HIGH CHOICE 99A1,R10368423,OAKS MS GRANITE 541E17,4.16382904813669,0.335418421723637,1.65181034877034,0.435658666250271,38.4839447049514,0.3606249943787,76.4563237145412,0.296361970086924,0.649498961032084,0.38192391160536,0.183424516129414,0.303030852841637,-0.015179368877089,0.353178591251235,0.353292166094882,0.322293434987415,1.71327457957006,0.116260223877355,3.19623190493453,0.289240436671116,26.8668602695248,0.294262563636475,7.62488791704911,0.261081348265363,0.778539451977744,0.0181174912499,-7.0118431114271,0.038528302491442,3.53978411935429,1.53598223627665
R10211889,TCF SUPREME 12Z2,2012-01-18,100% Brangus,R10142283,VCC SUPREME 180W4,R10116962,MS VCC ROWDY 12U2,3.4684762224254,0.220901108386726,1.97983668013923,0.326579060849659,29.4923823553954,0.225732193661792,63.3250966077692,0.189669946662227,0.566663268517636,0.144585716792819,0.103979582826578,0.11250278979118,-0.044683919482106,0.128363957415444,0.061721994412173,0.089362741913202,0.907722264677857,0.082734657014945,3.64155396342359,0.167210586315463,28.5660405280808,0.181122464515048,13.8198493503831,0.158817599941676,0.935835743430585,0.046179797073703,-8.04774976567774,0.04442076561854,2.96411388083425,0.510973179028763
R10436564,FC MS ATLANTA 541G37,2019-11-09,100% Brangus,R10210625,ATLANTA OF SALACOA  488Z,R10368488,OAKS MS PASSPORT 541E46,5.09752641723349,0.291714032248772,1.48201935826156,0.368437279549141,36.6597331127464,0.314299456121746,67.6308002783098,0.258863174587929,0.536794809497967,0.326444577833529,0.241094654184665,0.260202157260443,-0.034503875054851,0.303058304887458,0.712890463002808,0.18601085421694,1.80774512477311,0.165402140523611,4.09334958239869,0.209373957064246,20.9719166615628,0.233631753509712,2.64205010518963,0.193297902203696,-0.02015967750636,0.035001839937613,-12.9188097696724,0.106289095907418,3.29732036708362,1.32273456249133
R10305547,OAKS MS PASSPORT 541C39,2015-11-05,100% Brangus,R10216038,CB PASSPORT 803Y11,R10222071,OAKS MS AFFIRMED 30T 541Z49,3.16288919432775,0.331786055242015,3.49646597950349,0.430131288908868,26.1435460415161,0.349993906930059,45.5884226280557,0.348604051785461,0.268201880008749,0.336719618608606,0.060456280615138,0.268993791928059,-0.048350487764318,0.313294559507351,0.925683139735134,0.194639711718681,1.10285522137539,0.206943594968273,4.96894406150422,0.317734002407674,8.74391707273229,0.327301377095582,-4.32785594802576,0.315955112178344,0.298504359795781,0.034637270052285,-4.20019043641035,0.114966151883694,1.77328961545819,0.015863883038306
R10425756,FC MS BEAR 541F42,2018-10-26,100% Brangus,UB10305851,MC BEAR 948C,R10287197,OAKS MS SWIFT 541C15,3.21749556403411,0.289012994970842,3.26075510302545,0.376561955878632,37.4813461858995,0.297013330915882,79.3546995335969,0.209869470618949,0.814303837769815,0.297578173480871,0.335310795190623,0.213284124429325,-0.010434017832875,0.269548868179614,1.44084928373944,0.129823597953912,2.70348871763666,0.077620456424885,4.00356778628297,0.190410246695203,33.7204911244545,0.178762931324279,14.9798180315048,0.119637731528477,1.22839195768347,0.017545649349024,-1.17690740649506,0.033688434810839,3.9792181885979,1.98245589647935
