ASA_Number,Tattoo,Eid,Name,Sex,Breeds,Color,Hps,GeneticHps,BirthWtAdj,BWT_Ratio,Weaning>WtAdj,Weaning>WWT_Ratio,Yearling>WtAdj,Yearling>YWT_Ratio,Yearling>Adj_Scr,Yearling>Adj_Pelvic_Area,Ultrasound>WtAdj,Ultrasound>WtRatio,Ultrasound>IMFAdj,Ultrasound>IMFRatio,Ultrasound>BFAdj,Ultrasound>BFRatio,Ultrasound>REAAdj,Ultrasound>REARatio,Epds>CeEpd,Epds>CeAcc,Percentile>CE,Epds>BirthWtEpd,Epds>BirthWtAcc,Percentile>BW,Epds>WeanWtEpd,Epds>WeanWtAcc,Percentile>WW,Epds>YearlingWtEpd,Epds>YearlingWtAcc,Percentile>YW,Epds>MceEpd,Epds>MceAcc,Percentile>MCE,Epds>MilkEpd,Epds>MilkAcc,Percentile>Milk,Epds>MwwEpd,Epds>MwwAcc,Percentile>MWW,Epds>StayEpd,Epds>StayAcc,Percentile>Stay,Epds>DocEpd,Epds>DocAcc,Percentile>Doc,Epds>CarcassWtEpd,Epds>CarcassWtAcc,Percentile>CW,Epds>YieldGradeEpd,Epds>YieldGradeAcc,Percentile>YG,Epds>MarblingEpd,Epds>MarblingAcc,Percentile>Marb,Epds>BackFatEpd,Epds>BackFatAcc,Percentile>BF,Epds>RibEyeEpd,Epds>RibEyeAcc,Percentile>REA,Epds>ShrForceEpd,Epds>ShrForceAcc,Percentile>SF,Epds>Api,Percentile>API,Epds>Ti,Percentile>TI
3135344,605D,0,MR DALTON KANYE 1605,B,1/2 SM 1/2 AN,B,P,Heterozygous Polled,65,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0.47,90,3.2,0.64,95,71.8,0.59,60,115.6,0.52,50,6.4,0.17,60,26.1,0.05,25,62.0,0.18,40,13.3,0.21,65,12.8,0.06,40,28.3,0.43,65,-0.22,0.31,55,0.37,0.31,35,-0.063,0.26,25,0.45,0.41,85,0,0,0,120.2,70,73.6,65
3405044,7124E,0,GIBBS 7124E STONEWALL,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,57,0,781,0,1155,0,0,0,1159.0,109,3.42,111,0.18,86,15.67,115,16.1,0.50,15,-2.3,0.54,15,84.3,0.53,20,130.7,0.54,20,8.2,0.29,30,25.9,0.23,25,68.0,0.32,15,17.1,0.29,25,17.1,0.39,4,35.9,0.51,40,-0.31,0.41,25,0.58,0.46,10,-0.057,0.45,35,0.88,0.50,15,-0.52,0.08,1,163.9,4,94.4,3
3611790,336G,0,TJ STONE COLD 336G,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,72,81,818,121,1392,118,39.1,0,0,0,0,0,0,0,0,0,17.4,0.43,10,-4.5,0.48,2,92.1,0.46,5,135.7,0.47,15,9.5,0.21,15,30.6,0.13,4,76.6,0.24,2,20.4,0.25,3,12.9,0.36,35,43.9,0.45,20,-0.23,0.36,50,0.33,0.38,45,-0.036,0.37,65,0.87,0.43,15,-0.32,0.06,65,163.7,4,95.3,2
2731987,230A,0,CDI CRUISE 230A,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,99,0,744,0,1345,0,34.5,0,1334.0,101,2.70,93,0.29,132,14.31,96,5.8,0.55,99,4.6,0.72,99,75.8,0.69,45,111.6,0.65,60,1.7,0.31,99,13.7,0.25,99,51.6,0.36,90,14.0,0.31,60,4.1,0.34,99,31.3,0.52,55,-0.50,0.40,2,0.08,0.50,95,-0.105,0.40,2,1.02,0.49,5,-0.32,0.18,65,110.2,85,70.2,80
2751321,A100,0,ELLIOTT A100,B,PB SM,B,P,Homozygous Polled,87,92,638,101,1101,100,0,0,1100.0,100,1.63,79,0.17,89,17.14,117,17.7,0.65,2,-1.0,0.78,10,62.3,0.73,95,89.6,0.72,95,5.5,0.46,55,17.6,0.50,95,48.7,0.58,99,16.3,0.42,50,10.9,0.39,55,21.0,0.64,85,-0.63,0.47,1,0.14,0.58,45,-0.094,0.50,40,1.36,0.58,1,-0.40,0.17,20,138.9,25,73.1,70
2994506,B62,0,CIRCLE OLD SCHOOL B62,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,90,0,685,0,1330,0,0,0,1301.0,114,2.67,101,0.26,137,15.76,105,8.7,0.64,90,2.1,0.86,85,84.7,0.69,20,136.9,0.69,15,5.2,0.53,80,9.5,0.37,99,51.9,0.46,90,17.6,0.44,20,15.3,0.46,15,44.0,0.63,20,-0.06,0.48,95,0.27,0.54,55,-0.013,0.49,90,0.55,0.61,70,-0.35,0.20,50,130.1,45,78.1,50
3239492,D67,0,DFF MR PROFIT NS D67,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,74,100,802,104,1319,106,33.8,0,1328.0,106,5.14,109,0.30,100,13.11,99,6.1,0.59,99,4.4,0.72,99,84.2,0.68,20,137.5,0.67,10,4.9,0.34,85,26.5,0.24,20,68.5,0.36,15,15.2,0.30,45,12.6,0.50,40,38.8,0.64,30,-0.09,0.50,90,0.53,0.60,15,-0.057,0.56,35,0.23,0.62,99,0,0,0,132.1,45,82.8,30
3191680,D3022,0,SPECIAL EVENT ADV D3022,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,108,0,627,0,1221,0,0,0,1253.0,111,3.56,108,0.15,94,13.35,103,12.4,0.55,50,1.3,0.67,70,87.6,0.64,10,137.6,0.63,10,4.7,0.32,85,23.8,0.23,40,67.6,0.34,15,13.5,0.29,65,14.6,0.45,20,37.2,0.64,35,-0.39,0.50,10,-0.01,0.64,99,-0.106,0.56,2,0.76,0.62,30,-0.52,0.20,1,115.3,75,77.3,50
3044009,C217,0,TNT REVENANT C217,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,79,87,778,101,1359,100,39.1,0,1365.0,97,4.20,158,0.42,131,16.04,102,22.8,0.74,1,-4.7,0.84,2,53.6,0.79,99,89.5,0.80,95,12.1,0.43,2,29.1,0.37,10,55.9,0.47,70,17.6,0.32,20,20.8,0.70,1,6.5,0.73,99,-0.15,0.55,75,0.73,0.70,4,-0.036,0.63,65,0.16,0.68,99,-0.29,0.18,80,173.9,2,83.0,25
3403102,141F,0,SCC-X/L RANGE MASTER,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,80,100,577,100,1001,105,33.6,0,1005.0,104,2.14,80,0.16,84,12.18,105,14.3,0.42,25,-0.9,0.49,25,71.5,0.45,65,117.4,0.46,45,7.4,0.22,40,18.2,0.15,85,53.9,0.25,80,12.2,0.25,75,12.3,0.17,45,43.3,0.46,20,-0.25,0.36,45,0.53,0.41,15,-0.048,0.36,50,0.85,0.44,20,-0.35,0.08,50,142.1,25,82.9,30
3568376,G1609,0,MR SR HIGHLIFE G1609,B,PB SM,B,P,Homozygous Polled,87,92,766,111,1321,110,40.0,0,1244.0,106,2.38,101,0.12,60,11.92,92,15.3,0.44,10,-0.2,0.50,20,96.6,0.47,3,147.2,0.48,3,9.1,0.23,10,24.1,0.18,45,72.4,0.27,10,19.9,0.26,10,14.1,0.33,15,41.8,0.48,15,-0.49,0.37,20,0.19,0.44,35,-0.109,0.38,20,1.09,0.45,15,-0.36,0.06,40,158.3,5,94.2,3
3111910,0327C,0,CCR PAYWEIGHT 0327C,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,81,0,639,0,1275,0,0,0,1284.0,106,3.52,104,0.31,163,11.72,92,11.8,0.70,60,0.7,0.85,55,87.9,0.81,10,123.4,0.79,35,6.1,0.45,65,10.9,0.38,99,54.8,0.48,75,14.8,0.39,50,13.3,0.72,30,61.3,0.72,2,0.14,0.54,99,0.24,0.69,65,0.006,0.61,99,0.28,0.68,99,0,0,0,125.4,55,79.2,45
3178338,310D,0,CDI PRIME EXAMPLE 310D,B,3/4 SM 1/8 AN 1/8 AR,R,P,Homozygous Polled,114,0,863,0,1613,0,40.3,0,1616.0,128,2.20,92,0.30,136,19.57,133,9.9,0.59,80,1.8,0.77,80,77.2,0.70,40,138.5,0.70,10,1.6,0.38,99,21.4,0.28,65,60.0,0.39,50,21.0,0.33,2,6.8,0.39,95,35.7,0.63,40,-0.48,0.47,2,0.17,0.56,80,-0.100,0.49,4,1.06,0.57,3,-0.15,0.68,99,145.1,20,79.9,40
3459901,950F,0,TJ WINDMILL 950F,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,86,0,775,0,1232,0,0,0,1127.0,104,4.39,115,0.34,126,12.52,97,8.8,0.48,90,2.2,0.54,85,82.9,0.49,20,133.0,0.50,15,4.5,0.31,90,23.0,0.25,50,64.5,0.32,25,19.4,0.26,10,12.8,0.43,40,29.5,0.51,65,-0.09,0.40,90,0.56,0.45,15,-0.008,0.43,95,0.48,0.47,80,-0.20,0.04,99,148.5,15,85.4,20
2789756,302A,0,GTWY AUTHORITY 302A,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,66,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0.58,95,2.4,0.69,90,74.3,0.64,50,110.7,0.62,60,3.8,0.35,95,14.7,0.29,99,51.8,0.39,90,18.1,0.32,15,10.1,0.49,75,20.7,0.58,90,-0.25,0.44,45,0.37,0.52,35,-0.028,0.44,75,0.72,0.55,40,-0.39,0.17,25,129.1,50,74.4,65
3148116,294D,0,TJ DIPLOMAT 294D,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,85,95,806,129,1320,117,0,0,1200.0,111,3.89,99,0.25,104,14.95,118,11.5,0.75,60,0.4,0.89,50,80.2,0.86,30,129.5,0.85,20,7.1,0.53,45,27.8,0.50,15,67.9,0.59,15,16.0,0.35,35,4.8,0.74,99,44.3,0.74,15,-0.06,0.55,95,0.62,0.70,10,0.002,0.63,99,0.67,0.69,50,-0.29,0.18,80,151.1,15,88.4,10
3317984,82E,0,NLC GEN TEN 82E,B,PB SM,B,P,Homozygous Polled,89,104,661,105,1177,107,0,0,1177.0,103,2.22,86,0.23,115,14.38,104,7.0,0.59,90,3.9,0.81,90,80.1,0.78,35,120.5,0.75,35,4.8,0.33,70,31.2,0.24,10,71.2,0.36,15,19.8,0.29,10,13.8,0.43,20,35.2,0.55,30,-0.33,0.40,90,0.39,0.52,10,-0.068,0.38,95,0.84,0.49,60,-0.34,0.18,50,142.9,20,82.7,25
2914313,4331B,0,3C PASQUE 4331B B,B,PB SM,B,P,Homozygous Polled,93,100,711,107,1413,114,38.3,0,1357.0,112,5.07,131,0.28,140,17.36,113,6.7,0.63,95,3.2,0.84,85,83.9,0.80,25,140.4,0.79,10,3.5,0.45,90,25.5,0.45,35,67.4,0.54,25,21.7,0.35,2,15.8,0.31,10,32.1,0.65,40,-0.31,0.46,95,0.41,0.56,10,-0.069,0.46,95,0.72,0.56,85,-0.16,0.19,99,153.2,10,86.7,15
(3572943),58Y,0,BAR R 58Y,B,PB KB,B,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0.04,50,-1.3,0.03,20,35.0,0.03,99,47.8,0.03,99,6.6,0.02,55,16.2,0.00,95,33.7,0.01,99,4.2,0.00,99,8.3,0.00,90,42.6,0.14,20,-0.03,0.08,95,0.19,0.00,75,-0.039,0.00,65,0.21,0.13,99,0,0,0,102.7,95,61.8,99
2708199,712A,0,GW WOLFPACK 712A,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,91,108,764,115,1401,116,0,0,1406.0,114,4.36,110,0.29,126,15.28,117,8.6,0.71,90,0.0,0.88,40,74.5,0.85,50,123.3,0.86,35,1.8,0.61,99,12.6,0.67,99,49.8,0.72,95,18.5,0.53,10,11.8,0.55,55,20.7,0.75,90,-0.32,0.56,25,0.63,0.70,10,-0.074,0.62,15,0.57,0.71,65,-0.37,0.18,35,153.2,10,85.1,20
2912279,4174B,0,GAMBLER 5-3,B,5/8 SM 3/8 AN,B,P,0,72,85,597,97,1091,96,37.6,0,1098.0,96,4.63,123,0.27,142,13.94,102,21.2,0.65,1,-7.0,0.77,1,66.8,0.71,80,94.8,0.71,90,12.5,0.39,1,22.7,0.31,50,56.1,0.42,70,22.6,0.31,1,25.0,0.56,1,7.5,0.71,99,-0.10,0.53,85,1.09,0.69,1,0.006,0.60,99,0.34,0.65,95,-0.43,0.18,15,207.8,1,100.7,1
3613881,G15,0,KLER PROMOTER G15,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,81,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0.42,85,1.6,0.47,75,96.2,0.46,2,158.5,0.46,1,5.0,0.23,80,23.1,0.14,45,71.1,0.23,10,13.2,0.26,70,16.4,0.35,10,48.1,0.48,10,-0.38,0.38,15,0.28,0.40,55,-0.071,0.41,15,1.12,0.45,2,-0.41,0.08,20,130.9,45,89.1,10
2735675,CLRS 878A,0,CLRS AUSTIN 878 A,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,79,0,708,0,1299,0,0,0,1302.0,105,4.59,118,0.29,112,17.64,118,16.0,0.56,15,-1.4,0.65,20,69.0,0.64,70,107.7,0.63,70,7.3,0.39,45,34.5,0.37,1,68.9,0.46,15,28.4,0.39,1,12.3,0.49,45,18.8,0.62,90,-0.34,0.47,20,0.39,0.56,35,-0.061,0.50,25,0.71,0.58,40,-0.27,0.17,90,168.3,3,80.3,40
3256375,6784D,0,GIBBS 6784D STATELINE,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,70,104,744,114,1212,112,0,0,1217.0,110,4.02,152,0.24,133,16.27,122,11.7,0.53,60,0.5,0.65,55,76.7,0.61,45,122.5,0.60,35,6.7,0.26,55,28.6,0.20,10,66.9,0.32,20,11.6,0.28,80,7.7,0.34,95,28.6,0.59,65,-0.29,0.45,35,0.60,0.54,10,-0.047,0.47,50,0.80,0.56,25,-0.24,0.20,95,140.4,30,86.7,15
3370568,7048E,0,BAR CK HERD BUILDER,B,5/8 SM 3/8 AN,R,P,0,66,92,597,96,995,97,35.8,0,0,0,0,0,0,0,0,0,22.5,0.51,1,-4.9,0.59,2,49.1,0.54,99,70.5,0.53,99,12.3,0.27,1,23.4,0.20,45,47.9,0.31,99,25.6,0.28,1,13.9,0.30,25,10.7,0.48,99,-0.39,0.37,10,0.67,0.42,5,-0.067,0.37,25,0.72,0.46,40,-0.44,0.05,10,183.8,1,78.7,45
2912192,4080B,0,BAR CK PEERLESS 4080B,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,91,108,598,97,1303,114,37.3,0,1313.0,114,4.20,112,0.21,111,14.21,104,9.6,0.59,85,4.0,0.72,99,79.2,0.67,35,132.6,0.67,20,3.5,0.33,95,19.3,0.23,80,58.9,0.34,55,10.6,0.25,90,17.1,0.42,4,38.4,0.59,30,-0.12,0.45,80,0.78,0.53,3,-0.036,0.47,65,0.48,0.56,80,-0.44,0.17,10,140.7,25,86.9,15
3104991,5121C,0,GIBBS 5121C MOUNTAIN MAN,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,85,0,776,0,1242,0,0,0,1246.0,109,2.92,103,0.24,133,13.50,100,7.6,0.53,95,3.7,0.62,99,82.6,0.59,25,135.6,0.58,15,5.2,0.31,80,27.6,0.27,15,68.9,0.37,15,14.1,0.28,60,15.9,0.38,10,26.5,0.63,75,-0.25,0.48,45,0.27,0.60,55,-0.066,0.53,25,0.50,0.58,80,-0.54,0.20,1,119.6,70,77.6,50
3498948,116F,0,EGL CINCHED 116F,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,96,0,733,0,1284,0,0,0,1255.0,111,2.43,100,0.36,144,15.59,109,21.1,0.55,1,-3.7,0.63,4,72.0,0.61,60,114.6,0.59,50,10.3,0.34,10,32.4,0.26,2,68.3,0.35,15,14.3,0.27,55,14.6,0.46,20,40.0,0.54,30,-0.16,0.42,70,0.72,0.51,4,-0.006,0.44,95,0.84,0.51,20,-0.33,0.04,60,169.6,3,92.7,4
3210730,D950,0,IR OPPORTUNITY D950,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,89,103,621,103,1188,106,36.3,0,1189.0,106,4.31,112,0.14,78,13.69,103,18.3,0.60,4,-2.6,0.75,10,76.2,0.71,45,121.4,0.70,35,11.4,0.35,3,30.2,0.28,5,68.3,0.39,15,22.9,0.32,1,23.3,0.33,1,32.6,0.57,50,-0.38,0.43,15,0.70,0.50,4,-0.062,0.42,25,1.01,0.53,5,-0.46,0.18,5,183.2,1,94.1,3
(3519060),8103F,0,BAR CK 1006X 8103F,B,1/2 SM 1/2 AN,B,P,0,81,113,632,102,1067,105,35.7,0,0,0,0,0,0,0,0,0,20.8,0.46,1,-4.4,0.49,2,60.5,0.47,95,86.8,0.48,99,12.0,0.28,2,24.0,0.22,40,54.2,0.31,80,23.5,0.32,1,11.8,0.34,55,5.7,0.48,99,-0.08,0.39,90,1.21,0.45,1,-0.006,0.41,95,0.17,0.46,99,-0.18,0.04,99,208.5,1,96.7,2
3485821,F843,0,ASR AMERICAN PATRIOT F843,B,PB SM,B,P,Homozygous Polled,81,98,771,111,1418,114,0,0,1421.0,111,4.50,137,0.25,114,14.49,104,10.8,0.56,50,0.8,0.67,30,94.9,0.62,4,151.2,0.60,2,8.2,0.31,15,21.5,0.22,65,68.9,0.34,20,22.6,0.29,1,14.1,0.37,15,49.7,0.52,3,-0.38,0.39,75,0.44,0.47,5,-0.053,0.39,99,1.30,0.49,2,-0.43,0.05,10,169.6,2,97.2,2
3563006,442G,0,LRS FALCON 442G,B,PB SM,B,P,Homozygous Polled,82,0,708,0,1361,0,42.3,0,1326.0,109,2.07,87,0.20,95,14.56,116,14.4,0.43,10,-0.3,0.47,15,95.1,0.49,3,154.6,0.49,1,8.5,0.24,10,26.5,0.18,25,74.0,0.27,10,23.8,0.27,1,17.3,0.36,2,44.2,0.48,10,-0.29,0.38,99,0.30,0.44,15,-0.039,0.38,99,1.06,0.46,15,-0.47,0.09,3,171.4,1,96.1,2
2910283,499B,0,MCDF NEW RIVER 499B,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,76,88,707,110,1249,110,37.5,0,1253.0,112,2.65,110,0.11,85,13.83,105,19.5,0.66,2,-4.0,0.81,3,61.8,0.78,90,96.9,0.77,85,12.9,0.42,1,19.4,0.40,80,50.2,0.50,95,17.2,0.27,20,9.9,0.73,80,35.8,0.65,40,-0.28,0.47,35,0.35,0.61,40,-0.079,0.48,15,0.61,0.59,60,-0.33,0.17,60,149.5,15,76.6,55
3169708,D001,840003136500790,KBHR/TBEF DELUXE D001,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,93,105,803,110,1547,116,45.3,0,1560.0,116,3.27,143,0.30,130,16.34,103,6.5,0.60,99,5.0,0.77,99,103.9,0.72,1,177.4,0.67,1,5.6,0.39,75,22.6,0.31,50,74.4,0.42,3,13.5,0.30,65,23.7,0.67,1,59.6,0.69,2,-0.03,0.52,95,0.90,0.67,1,-0.016,0.59,90,0.60,0.65,60,0,0,0,158.1,10,103.4,1
3093586,493D,0,GW SPECIAL AGENT 493D,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,95,105,774,106,1331,104,0,0,1348.0,101,4.31,118,0.33,132,14.19,102,5.6,0.60,99,4.8,0.76,99,90.0,0.70,10,136.7,0.67,15,2.4,0.33,99,21.6,0.20,60,66.5,0.33,20,10.1,0.26,90,10.2,0.33,75,46.6,0.55,15,-0.06,0.41,95,0.55,0.45,15,-0.019,0.40,90,0.52,0.50,75,-0.38,0.18,30,121.8,65,84.9,20
3423917,F839,840003199851729,BRIDLE BIT BEST MAN F839,B,PB SM,R,P,Homozygous Polled,73,86,602,90,1105,98,0,0,1108.0,98,3.97,96,0.24,100,13.34,93,12.0,0.59,35,-0.1,0.73,20,66.6,0.67,90,106.9,0.65,70,6.1,0.29,45,17.5,0.23,95,50.7,0.35,99,17.5,0.29,35,8.4,0.47,85,29.2,0.53,50,-0.32,0.39,95,0.09,0.51,60,-0.071,0.35,80,0.70,0.49,90,-0.42,0.05,15,131.6,40,71.9,75
2891336,503B,0,TJ MAIN EVENT 503B,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,82,0,806,0,1301,0,0,0,1153.0,101,4.19,117,0.20,105,14.46,105,12.6,0.79,45,0.3,0.94,50,94.1,0.92,3,142.8,0.91,10,5.6,0.70,75,30.4,0.71,4,77.4,0.76,1,15.2,0.51,45,13.5,0.85,30,51.7,0.81,5,-0.38,0.59,15,0.18,0.78,75,-0.086,0.68,10,1.04,0.77,4,-0.28,0.16,85,132.8,40,87.5,15
2968336,4340B,0,GIBBS 4340B NIGHTHAWK,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,85,105,774,111,1128,108,0,0,1136.0,105,2.19,81,0.12,120,16.84,127,8.7,0.61,90,3.2,0.77,95,91.8,0.74,5,144.5,0.73,5,2.0,0.38,99,13.0,0.39,99,58.9,0.49,55,15.3,0.31,45,13.9,0.52,25,46.2,0.68,15,-0.08,0.52,90,0.68,0.66,5,0.001,0.59,99,0.73,0.65,35,-0.35,0.20,50,148.5,15,91.6,5
